SMILES,SMILES_TARGET
Cc1nc(NC(=O)CSc2nnc3c4c5c(sc4nc(C(N)=O)c23)CCCC5)sc1C,Cc1nc(NC(=O)CSc2nnc3c4c5c(sc4nc(C(N)=O)c23)CCCC5)sc1C
CN(C)C(=O)Oc1cccc(CC2CCc3ccc(O)cc3)n21,CN(C)C(=O)Oc1cccc(CC2CCc3ccc(O)cc3)n21
Cc1cc(C)nc(NC2=NC3CN(C(=O)NC4CCCCC4)C3=C(C#N)C(=N)SC3=C2)n1,Cc1cc(C)nc(NC2=NC3CN(C(=O)NC4CCCCC4)C3=C(C#N)C(=N)SC3=C2)n1
CCC(C)C(NC(=O)CC(O)C(CC1CCCCC1)NC(=O)OCC12CC3CC(CC(C3)C1)C2)C(=O)NC(CC(C)C)C(O)CC(C)CC(=O)NC(Cc1cccc,CCC(C)C(NC(=O)CC(O)C(CC1CCCCC1)NC(=O)OCC12CC3CC(CC(C3)C1)C2)C(=O)NC(CC(C)C)C(O)CC(C)CC(=O)NC(Cc1cccc
CC1=NC(=O)NC(C)(C)c2nnnc1-2,CC1=NC(=O)NC(C)(C)c2nnnc1-2
CN(C)c1cccc2c(S(=O)(=O)Nc3ccc4nnc(C(N)=O)n4)cccc3cc12,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc4nnc(C(N)=O)n4)cccc3cc12
CCN(c1cc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc(Cl)c1=O)C(C)C,CCN(c1cc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc(Cl)c1=O)C(C)C
CC1CCc2c(sc3[nH]c(=O)n(CCS(=O)(=O)c4ccc(Cl)cc4)c2C3)C1,CC1CCc2c(sc3[nH]c(=O)n(CCS(=O)(=O)c4ccc(Cl)cc4)c2C3)C1
C=CCCn1c(=O)c(C2=NCCS2)cnc2cc(N3CCOCC3)ccc21,C=CCCn1c(=O)c(C2=NCCS2)cnc2cc(N3CCOCC3)ccc21
CC(Oc1cccc(C(O)(Cc2ccccc2)C(=O)Nc2ccc(-c3ccnc4[nH]nc3c3)cc2)c1)P(=O)(O)O,CC(Oc1cccc(C(O)(Cc2ccccc2)C(=O)Nc2ccc(-c3ccnc4[nH]nc3c3)cc2)c1)P(=O)(O)O
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(-c4cccnc4F)csc3nn21,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(-c4cccnc4F)csc3nn21
NCc1ccc(Nc2c(C(=O)C3CC3)cnc3ccc(-c4cc(Cl)c(OCc5ccncc5)c4)cc23)cc1,NCc1ccc(Nc2c(C(=O)C3CC3)cnc3ccc(-c4cc(Cl)c(OCc5ccncc5)c4)cc23)cc1
CN(C)S(=O)(=O)c1ccc(N2C(=O)c3cccc4cc(S(=O)(=O)N5CCCCC5)ccc32)cc1,CN(C)S(=O)(=O)c1ccc(N2C(=O)c3cccc4cc(S(=O)(=O)N5CCCCC5)ccc32)cc1
COc1ccc(Cl)cc1Nc1nnc(Cc2ccccc2)c2cnnc1-2,COc1ccc(Cl)cc1Nc1nnc(Cc2ccccc2)c2cnnc1-2
COc1cc(CN2CCCC3(NC(c4ccccc4)c4c3c(O)n(Cc3ccccc3)c4ccccc32)S(=O)(=O)N(C)c2ccc(F)cc2F)ccc1N1CCNCC1,COc1cc(CN2CCCC3(NC(c4ccccc4)c4c3c(O)n(Cc3ccccc3)c4ccccc32)S(=O)(=O)N(C)c2ccc(F)cc2F)ccc1N1CCNCC1
COc1ccc2c(OC3CC4C(=O)NC5(C)Cc5c([nH]c6c6CCC6C4)COC6=O)cc(C(=O)O)cc3nc2c1,COc1ccc2c(OC3CC4C(=O)NC5(C)Cc5c([nH]c6c6CCC6C4)COC6=O)cc(C(=O)O)cc3nc2c1
Cc1cccc2cc(Cn3nc(Nc4ccc(F)cc4)ccc3=O)n(S(=O)(=O)c3cc(Cl)ccc3Cl)n12,Cc1cccc2cc(Cn3nc(Nc4ccc(F)cc4)ccc3=O)n(S(=O)(=O)c3cc(Cl)ccc3Cl)n12
COc1cccc(-c2cc(Nc3cccnc3)nc(N(C)C)nc2N)c1,COc1cccc(-c2cc(Nc3cccnc3)nc(N(C)C)nc2N)c1
O=C(C=Cc1cc(Br)cc(I)c1O)c1cc2c(N=Nc3ccc(F)c(Br)c3)c(O)nc3ccccc2c1NCc1ccccc1,O=C(C=Cc1cc(Br)cc(I)c1O)c1cc2c(N=Nc3ccc(F)c(Br)c3)c(O)nc3ccccc2c1NCc1ccccc1
Cc1ccc2cc(-c3[nH]nc4ccc(NC5CCNCC4)cc34)[nH]c2c1,Cc1ccc2cc(-c3[nH]nc4ccc(NC5CCNCC4)cc34)[nH]c2c1
CC12C3=C(CCC4(O)C3(C)C(C(C)(C)C(=O)O)CC13)C21,CC12C3=C(CCC4(O)C3(C)C(C(C)(C)C(=O)O)CC13)C21
NC(=O)c1ccc2ccc3[nH]cc(Cc4ccc(-oc5)c4)cc3c2c1,NC(=O)c1ccc2ccc3[nH]cc(Cc4ccc(-oc5)c4)cc3c2c1
Cc1cc(NCc2ccccc2O)c2c(c1O)C1(C)Oc3ccc(Br)cc3C1(C)N=2,Cc1cc(NCc2ccccc2O)c2c(c1O)C1(C)Oc3ccc(Br)cc3C1(C)N=2
CCOC(=O)N1CCN(C(=O)C(=O)C(NC(=O)c2ccc3c(c3)C(=O)N(CCc2ccccc2)C3=O)C(=O)OCC)CC1,CCOC(=O)N1CCN(C(=O)C(=O)C(NC(=O)c2ccc3c(c3)C(=O)N(CCc2ccccc2)C3=O)C(=O)OCC)CC1
Oc1ccc2c3c1OC1c4nc(-c5ccccc5Cl)cnc4c4C(C2)N(CC1CC2)CCC314CCCC1(O)C(F)F,Oc1ccc2c3c1OC1c4nc(-c5ccccc5Cl)cnc4c4C(C2)N(CC1CC2)CCC314CCCC1(O)C(F)F
COc1c(C)cc(C(=O)NC(C(=O)NCc2ccc(C(=N)N)cc2)C2CC2)c(C(=O)Nc2ccc(NC(=N)N)cc2)s1,COc1c(C)cc(C(=O)NC(C(=O)NCc2ccc(C(=N)N)cc2)C2CC2)c(C(=O)Nc2ccc(NC(=N)N)cc2)s1
CN1CCN(C(=O)C2(C)Cc3cccc4c4N3CC2(C)CCC5(C)C4)CC1,CN1CCN(C(=O)C2(C)Cc3cccc4c4N3CC2(C)CCC5(C)C4)CC1
CCN1CCN(Cc2ccc(NC(=O)c3ccc4[nH]c(C5=C(N6CCC6)CN=C4c4cc(OC)ccc4OC)=Nc4ccccc34)cc2)CC1,CCN1CCN(Cc2ccc(NC(=O)c3ccc4[nH]c(C5=C(N6CCC6)CN=C4c4cc(OC)ccc4OC)=Nc4ccccc34)cc2)CC1
Cc1cc2c(c(OC(C)c3ccccc3)c1)C(=O)N1CCSC1=O,Cc1cc2c(c(OC(C)c3ccccc3)c1)C(=O)N1CCSC1=O
Cc1ccn2c(n1)CN(CC(CF)c1ccccc1)S(=O)(=O)c1cccc(Cl)c12,Cc1ccn2c(n1)CN(CC(CF)c1ccccc1)S(=O)(=O)c1cccc(Cl)c12
N#Cc1ccc(-c2cc3c(cc2F)c(=O)c2c(N4CCOCC4)ccnn23)cc1,N#Cc1ccc(-c2cc3c(cc2F)c(=O)c2c(N4CCOCC4)ccnn23)cc1
COc1ccc(-c2c(C#N)c(N)c3c(O)n(CCN4CCCCC4)c(C)c3-2)cc1,COc1ccc(-c2c(C#N)c(N)c3c(O)n(CCN4CCCCC4)c(C)c3-2)cc1
CC1(Nc2nc(-c3ccccc3Cl)nnc2-c2cnc3c(cnn3C3CC3)c2=O)CC1,CC1(Nc2nc(-c3ccccc3Cl)nnc2-c2cnc3c(cnn3C3CC3)c2=O)CC1
Cc1nc(I)cc2c1nc(N)n2-c1c(C)cc(=O)oc1=O,Cc1nc(I)cc2c1nc(N)n2-c1c(C)cc(=O)oc1=O
O=C1CC(=O)N(C2CCCC(C(NC(=O)Cc3ccccc3)C3CC3)N2)=NN1,O=C1CC(=O)N(C2CCCC(C(NC(=O)Cc3ccccc3)C3CC3)N2)=NN1
CCCCC12C=c3c(O)ccc(O)c3C1(C)C2=O,CCCCC12C=c3c(O)ccc(O)c3C1(C)C2=O
C=CCN1C(=O)C(=C2Sc3ccccc3N2CCC)=C(C)C1=O,C=CCN1C(=O)C(=C2Sc3ccccc3N2CCC)=C(C)C1=O
Cc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1C(C)C,Cc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1C(C)C
O=c1cc2c(NCc3ccc(Cl)cc3)ccnc2[nH]c1O,O=c1cc2c(NCc3ccc(Cl)cc3)ccnc2[nH]c1O
CCCn1c(Nc2cccc(C)c2C(F)(F)F)nc(C2=CCN(C)CC2)c(=O)c1Cl,CCCn1c(Nc2cccc(C)c2C(F)(F)F)nc(C2=CCN(C)CC2)c(=O)c1Cl
CN1CCN(Cc2coc3cc(Oc4nc(-c5cccc(O)c5)cs4)ccc3c2)CC1,CN1CCN(Cc2coc3cc(Oc4nc(-c5cccc(O)c5)cs4)ccc3c2)CC1
COc1ccc(Oc2ccccc2N=Cc2c(O)c(C(=O)C(C)C)cn3-c3ccccc32)cc1,COc1ccc(Oc2ccccc2N=Cc2c(O)c(C(=O)C(C)C)cn3-c3ccccc32)cc1
CC(C)(O)C#Cc1cccc(CNc2nc(OCc3c(-c4ccncc4)nn4ccccc34)cc2)n1,CC(C)(O)C#Cc1cccc(CNc2nc(OCc3c(-c4ccncc4)nn4ccccc34)cc2)n1
COc1cc(Cl)cc(C(=O)Nc2ccc(F)c(C34COCC3NS(=O)(=O)c3ccc(F)c(F)c3)c2F)c1C,COc1cc(Cl)cc(C(=O)Nc2ccc(F)c(C34COCC3NS(=O)(=O)c3ccc(F)c(F)c3)c2F)c1C
Oc1ccc2cccc(OC3OCC(O)C(O)C3O)c2c(O)c1-c1ccc(O)c(O)c1,Oc1ccc2cccc(OC3OCC(O)C(O)C3O)c2c(O)c1-c1ccc(O)c(O)c1
COc1ccc(CCCC(OC(=O)C2CCCCN2S(=O)(=O)c2cccnc2)c2occc2=O)cc1,COc1ccc(CCCC(OC(=O)C2CCCCN2S(=O)(=O)c2cccnc2)c2occc2=O)cc1
Cc1cccc(-c2cc(NC(=O)CCCSc3nc(N)cc4c(-c5ccc(Br)cc5)csc34)s2)c1,Cc1cccc(-c2cc(NC(=O)CCCSc3nc(N)cc4c(-c5ccc(Br)cc5)csc34)s2)c1
NCCCC12CCC(c3nnn4cc(-c5ccc6n[nH]cc6c5)nc14)C3(F)C(=O)N2,NCCCC12CCC(c3nnn4cc(-c5ccc6n[nH]cc6c5)nc14)C3(F)C(=O)N2
CC(C)OC(=O)Nc1ccc2c(c1)C(=O)c1ccc(Nc3cc(N4CC5CCC(C4)O5)nn3)ccc1C(=O)N2,CC(C)OC(=O)Nc1ccc2c(c1)C(=O)c1ccc(Nc3cc(N4CC5CCC(C4)O5)nn3)ccc1C(=O)N2
Oc1ccc(CNC2C3C4CC5C6C4C2C6C2(OCCO2)C3)cc1,Oc1ccc(CNC2C3C4CC5C6C4C2C6C2(OCCO2)C3)cc1
O=C1NCC2(CCN(C(=O)C3CCc4ccccc4C3)CC2)(c2ccc(Cl)c(Cl)c2)C1,O=C1NCC2(CCN(C(=O)C3CCc4ccccc4C3)CC2)(c2ccc(Cl)c(Cl)c2)C1
O=c1c2ccc(Br)cc2c(Cc2c[nH]c3ccccc23)o1,O=c1c2ccc(Br)cc2c(Cc2c[nH]c3ccccc23)o1
Clc1cccc(-n2cnc3cnc4[nH]ccc4c3c2)c1,Clc1cccc(-n2cnc3cnc4[nH]ccc4c3c2)c1
O=C(O)c1cnn(-c2nc(N3CC4Cc5cc(-c6cc(F)ccc6F)n(C5CCCC6)n4)cc(Cl)nc3C(=O)N2)c1,O=C(O)c1cnn(-c2nc(N3CC4Cc5cc(-c6cc(F)ccc6F)n(C5CCCC6)n4)cc(Cl)nc3C(=O)N2)c1
CC(=NOC(c1ccc(Oc2ccc(Oc3ccccc3)cc3)c(Cl)c2c(=O)n1Cc1ccccc1)C(F)(F)F)c1ccc(F)cc1OCc1ccccc1,CC(=NOC(c1ccc(Oc2ccc(Oc3ccccc3)cc3)c(Cl)c2c(=O)n1Cc1ccccc1)C(F)(F)F)c1ccc(F)cc1OCc1ccccc1
Cn1cc(-c2cc3c(-c4cc(N5C6CC6CN(C)C7)nccc5[nH]4)ncnc3N2)cn1,Cn1cc(-c2cc3c(-c4cc(N5C6CC6CN(C)C7)nccc5[nH]4)ncnc3N2)cn1
O=c1c(=Cc2ccc(OC3CSC4)cc3C2(O)c2ccccc2)coc2ccccc12,O=c1c(=Cc2ccc(OC3CSC4)cc3C2(O)c2ccccc2)coc2ccccc12
Fc1ccc(NOc2ncnc3c2oc2cc4sccc4c23)cc1Cl,Fc1ccc(NOc2ncnc3c2oc2cc4sccc4c23)cc1Cl
CCC1=C2C(N=C3OC(C)(C)CC3=O)=NC(SC)=N2C(2)=C(C#N)C1,CCC1=C2C(N=C3OC(C)(C)CC3=O)=NC(SC)=N2C(2)=C(C#N)C1
O=[N+]([O-])c1cccc(-c2cc(-c3cccs3)n3ncnc(N)c3c2-c2ccc(F)cc2)c1,O=[N+]([O-])c1cccc(-c2cc(-c3cccs3)n3ncnc(N)c3c2-c2ccc(F)cc2)c1
C=CCOc1c(OC)cccc1Sc1ccc2c(c1)=C(NC(=O)C1CCCCC1)c1ccccc1-2,C=CCOc1c(OC)cccc1Sc1ccc2c(c1)=C(NC(=O)C1CCCCC1)c1ccccc1-2
Cn1c(=O)c(Nc2ccc(N3CCOCC3)cc2)nc2ccc3c(ccc24)C(=O)N1,Cn1c(=O)c(Nc2ccc(N3CCOCC3)cc2)nc2ccc3c(ccc24)C(=O)N1
CC(=O)c1cccc(NC(=O)CC2C(=O)Nc3c2cc(Cl)c2c3CCCCC23)c1,CC(=O)c1cccc(NC(=O)CC2C(=O)Nc3c2cc(Cl)c2c3CCCCC23)c1
CC1(N2CC3CC2CN3c2ccn3nc(-c4ccc(CN5CCC(c6nc6ccccc7n6)CC5)cc4)cnc23)CC1,CC1(N2CC3CC2CN3c2ccn3nc(-c4ccc(CN5CCC(c6nc6ccccc7n6)CC5)cc4)cnc23)CC1
Nc1ncnc2c1ncn2C1OC(C(CO)OCCCc2ccc3nc(C(=O)NC(C)(C)C(=O)O)nc3c2)C(O)C1O,Nc1ncnc2c1ncn2C1OC(C(CO)OCCCc2ccc3nc(C(=O)NC(C)(C)C(=O)O)nc3c2)C(O)C1O
CC(C)c1nc2c(c3c1CC(C)Oc1ccc(C(=O)O)nc1)CCCC2,CC(C)c1nc2c(c3c1CC(C)Oc1ccc(C(=O)O)nc1)CCCC2
O=C(O)CC(Cc1nc(=O)cc(N2CCOCC2)c(-c2ccc3ccccc3c2)n1Cc1ccc(F)cc1)NS(=O)(=O)c1ccccc1,O=C(O)CC(Cc1nc(=O)cc(N2CCOCC2)c(-c2ccc3ccccc3c2)n1Cc1ccc(F)cc1)NS(=O)(=O)c1ccccc1
CCCC(N)(c1ccc(-c2ccc(OC)cc2)cc1)(c1ccc(Cl)cc1)C(F)(F)F,CCCC(N)(c1ccc(-c2ccc(OC)cc2)cc1)(c1ccc(Cl)cc1)C(F)(F)F
CC(=NN1CCN(=S)C(C)C1)c1ccncc1,CC(=NN1CCN(=S)C(C)C1)c1ccncc1
CC(=O)Nc1nc2cc(C3(O)c4cccc5c4CC3C(=O)NC4=O)ccc2s1,CC(=O)Nc1nc2cc(C3(O)c4cccc5c4CC3C(=O)NC4=O)ccc2s1
CS(=O)(=O)NCCCCCC(C(=O)Nc1cc(OCCCC(=O)O)c(O)c2nccc12)S(=O)(=O)c1ccc(F)cc1,CS(=O)(=O)NCCCCCC(C(=O)Nc1cc(OCCCC(=O)O)c(O)c2nccc12)S(=O)(=O)c1ccc(F)cc1
Nc1ncnc2c1ncn2C1OC(CN(CCBrCI)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1O,Nc1ncnc2c1ncn2C1OC(CN(CCBrCI)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1O
CCOC1Cc2c(ccc3c(=O)cc(C(=O)O)c(c2-c2c(F)cccc2F)O3)s1,CCOC1Cc2c(ccc3c(=O)cc(C(=O)O)c(c2-c2c(F)cccc2F)O3)s1
O=C(Nn1c(SCc2ccc(Cl)cc2)nc2cc(C(F)(F)F)ccc2c1O)c1ccccc1O,O=C(Nn1c(SCc2ccc(Cl)cc2)nc2cc(C(F)(F)F)ccc2c1O)c1ccccc1O
Cc1ccc(-c2ccc(C3CC3c2cc(O)nc4c(F)cccc32)c(F)c(F)c1F,Cc1ccc(-c2ccc(C3CC3c2cc(O)nc4c(F)cccc32)c(F)c(F)c1F
Cc1ccc(C2CC(=O)C3N=C(SC)C4(C#N)C(c5ccccc4C)SC3=N2)cc1,Cc1ccc(C2CC(=O)C3N=C(SC)C4(C#N)C(c5ccccc4C)SC3=N2)cc1
COC(=O)C1C2CCC(CC1c1cccc(-n3c(=O)ccc3cccn3-c3nc[nH]n3)c2)o1,COC(=O)C1C2CCC(CC1c1cccc(-n3c(=O)ccc3cccn3-c3nc[nH]n3)c2)o1
CS(=O)(=O)n1nc2c3c(ccc21)C1(CCOCC1)c1cc(C(N)=O)ccc1-3,CS(=O)(=O)n1nc2c3c(ccc21)C1(CCOCC1)c1cc(C(N)=O)ccc1-3
CC(C)=CCN1Cc2ccccc2-c2c(nc(N)n3C2CN2CCc4ccc(F)cc4C12)C(C)(C)C,CC(C)=CCN1Cc2ccccc2-c2c(nc(N)n3C2CN2CCc4ccc(F)cc4C12)C(C)(C)C
COc1ccc(-c2cc(-c3cccs3)c(C#N)c(SCC(=O)C(C#N)c3nnc(N4C4CCCC4C)s3)n2)cc1,COc1ccc(-c2cc(-c3cccs3)c(C#N)c(SCC(=O)C(C#N)c3nnc(N4C4CCCC4C)s3)n2)cc1
CCC(C)(C)N(Cc1ccc(-c2cccc(Cl)c2)cc1)C(=O)Cn1cc(Br)cnc1O,CCC(C)(C)N(Cc1ccc(-c2cccc(Cl)c2)cc1)C(=O)Cn1cc(Br)cnc1O
CCN(CC)CCNc1ccc2ncn3c4ccc(F)cc4nc1c23,CCN(CC)CCNc1ccc2ncn3c4ccc(F)cc4nc1c23
Cc1cc(C(O)(c2ccc(C3CCCCC3)cc2)c2c(C)nn(-c3ccccc3)c2O)c(C)c1N=S(C)(=O)O,Cc1cc(C(O)(c2ccc(C3CCCCC3)cc2)c2c(C)nn(-c3ccccc3)c2O)c(C)c1N=S(C)(=O)O
COc1ccc(CNC(=O)C(c2cc3c(C)noc3c2)N(CCCO)C(=O)c2cccs2)cc1,COc1ccc(CNC(=O)C(c2cc3c(C)noc3c2)N(CCCO)C(=O)c2cccs2)cc1
CC=Cc1ccc(C2C(CO)N(CCC(F)(F)F)C23CN(C(=O)c2cncn2)C3)cc1,CC=Cc1ccc(C2C(CO)N(CCC(F)(F)F)C23CN(C(=O)c2cncn2)C3)cc1
O=C1CCC2(Cc3ccccc3)C=c3nc4ccccc4cc3C2N1,O=C1CCC2(Cc3ccccc3)C=c3nc4ccccc4cc3C2N1
Cc1ccc(C)c2nc(O)c(CN(CCC(=O)N(C)C)Cc3nnnn3Cc3ccc(F)cc3)cc2c1,Cc1ccc(C)c2nc(O)c(CN(CCC(=O)N(C)C)Cc3nnnn3Cc3ccc(F)cc3)cc2c1
CC12CC(C)(C)C(C#Cc3cccc(N4CCCC4=O)cc31)C2,CC12CC(C)(C)C(C#Cc3cccc(N4CCCC4=O)cc31)C2
COc1ccccc1NS(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)NCc1ccc3c(c1)OCO4)cn2C,COc1ccccc1NS(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)NCc1ccc3c(c1)OCO4)cn2C
O=C(NC1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O)N1CCC2(CC1)OC(OCc1cc(F)(F)ccc1F)(C(F)(F)F)C(=O)N2Cc1ccc,O=C(NC1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O)N1CCC2(CC1)OC(OCc1cc(F)(F)ccc1F)(C(F)(F)F)C(=O)N2Cc1ccc
O=C(O)C1=C(C(=O)Nc2ccc(Cl)cc2C(=O)O)CCc2c1c(O)c1cc3c(s1)OCCC3,O=C(O)C1=C(C(=O)Nc2ccc(Cl)cc2C(=O)O)CCc2c1c(O)c1cc3c(s1)OCCC3
Cn1c(=O)[nH]c(=O)c2c1nc1sc3ccccc3c1C2,Cn1c(=O)[nH]c(=O)c2c1nc1sc3ccccc3c1C2
COc1ccc(COC(=O)C2=C(C)N=C3CC(C)(C)CC(=O)C3C2c2cccs2Cl)cc1,COc1ccc(COC(=O)C2=C(C)N=C3CC(C)(C)CC(=O)C3C2c2cccs2Cl)cc1
Cc1c(F)cccc1C1CCC2C(CCC3C3CC(O)CC32)O1,Cc1c(F)cccc1C1CCC2C(CCC3C3CC(O)CC32)O1
CC(C)(CC(O)(Cc1cc2c(-c3ccc(CO)cn3)noc2[nH]1)C(F)(F)F,CC(C)(CC(O)(Cc1cc2c(-c3ccc(CO)cn3)noc2[nH]1)C(F)(F)F
