0,1,2
OCC(O)=O,73,1
OC(=O)CF,74,1
CCC(F)=C,75,1
NCC(F)=C,76,1
OCC(F)=C,77,1
FCC(F)=C,78,1
CNC(C)=N,79,2
CC(=N)NN,80,2
CC(=N)NO,81,2
CNC(C)=O,82,2
CC(=O)NN,83,2
CC(=O)NO,84,2
CNC(N)=N,85,1
NNC(N)=N,86,1
NC(=N)NO,87,1
CNC(N)=O,88,1
NNC(N)=O,89,1
NC(=O)NO,90,1
COC(C)=C,91,1
COC(C)=O,92,1
COC(N)=N,93,1
COC(N)=O,94,1
CC(=C)C=C,95,1
CC(=C)C=O,96,1
CC(=C)C#N,97,1
CC(=O)C=C,98,1
CC(=O)C=O,99,1
CC(=O)C#N,100,1
NC(=N)C=C,101,1
NC(=N)C=O,102,1
NC(=N)C#N,103,1
NC(=O)C=C,104,2
NC(=O)C=O,105,2
NC(=O)C#N,106,2
OC(=O)C=C,107,1
OC(=O)C=O,108,1
OC(=O)C#N,109,1
FC(=C)C=C,110,1
FC(=C)C=O,111,1
FC(=C)C#N,112,1
CC(=C)C#C,113,1
CC(=O)C#C,114,1
NC(=N)C#C,115,1
NC(=O)C#C,116,2
OC(=O)C#C,117,1
FC(=C)C#C,118,1
CC=C(C)C,119,1
CC(C)=CF,120,1
CC=C(C)F,121,1
CC(F)=CF,122,1
CC=C(F)F,123,1
FC=C(F)F,124,1
CC(C)=NN,125,1
CC(C)=NO,126,1
CC1(C)CC1,127,1
CC1(N)CC1,128,1
CC1(O)CC1,129,1
CC1(F)CC1,130,1
FC1(F)CC1,131,1
CC1(C)CN1,132,1
CC1(C)CO1,133,1
CC1CCC1,134,1
NC1CCC1,135,1
OC1CCC1,136,1
FC1CCC1,137,1
CC1CNC1,138,1
NC1CNC1,139,1
OC1CNC1,140,1
FC1CNC1,141,1
CC1COC1,142,1
NC1COC1,143,1
OC1COC1,144,1
FC1COC1,145,1
CC1CCN1,146,1
CC1CCO1,147,1
CN1CCC1,148,1
O=C1CCC1,149,1
O=C1CNC1,150,1
O=C1COC1,151,1
O=C1CCN1,152,1
O=C1CCO1,153,1
CC1CC1C,154,1
CC1CC1N,155,1
CC1CC1O,156,1
CC1CC1F,157,1
NC1CC1N,158,1
NC1CC1O,159,1
NC1CC1F,160,1
OC1CC1O,161,1
OC1CC1F,162,1
FC1CC1F,163,1
CC1NC1C,164,1
CC1OC1C,165,1
CC1CN1C,166,1
CCCCC,167,1
CCCCN,168,1
CCCCO,169,1
CCCCF,170,1
NCCCN,171,1
NCCCO,172,1
NCCCF,173,1
OCCCO,174,1
OCCCF,175,1
FCCCF,176,1
CCCNC,177,1
CNCCN,178,1
CNCCO,179,1
CNCCF,180,1
CCCOC,181,1
COCCN,182,1
COCCO,183,1
COCCF,184,1
COCOC,185,1
CCNCC,186,1
CCOCC,187,1
CCCC=C,188,1
CCCC=O,189,1
CCCC#N,190,1
NCCC=C,191,1
OCCC=C,192,1
OCCC=O,193,1
OCCC#N,194,1
FCCC=C,195,1
FCCC=O,196,1
FCCC#N,197,1
CNCC=C,198,1
CNCC=O,199,1
CNCC#N,200,1
COCC=C,201,1
COCC=O,202,1
COCC#N,203,1
CCNC=N,204,2
CCNC=O,205,2
CCNN=C,206,1
CNNC=N,207,2
CNNC=O,208,2
CONC=N,209,2
CONC=O,210,2
CCOC=C,211,1
CCOC=O,212,1
CCON=C,213,1
CCCC#C,214,1
NCCC#C,215,1
OCCC#C,216,1
FCCC#C,217,1
CNCC#C,218,1
COCC#C,219,1
C=CCC=C,220,1
C=CCC=O,221,1
C=CCC#N,222,1
O=CCC=O,223,1
O=CCC#N,224,1
N#CCC#N,225,1
C=CNC=N,226,2
C=CNC=O,227,2
N=CNC=N,228,2
N=CNC=O,229,3
O=CNC=O,230,2
C=NNC=N,231,2
C=NNC=O,232,2
C=COC=C,233,1
C=COC=O,234,1
C=NOC=O,235,1
C=CCC#C,236,1
O=CCC#C,237,1
C#CCC#N,238,1
C#CCC#C,239,1
CCC=CC,240,1
CCC=CF,241,1
CC=CCN,242,1
NCC=CF,243,1
CC=CCO,244,1
OCC=CF,245,1
CC=CCF,246,1
FCC=CF,247,1
CCC=NN,248,1
CCC=NO,249,1
NCC=NO,250,1
NN=CCO,251,1
OCC=NO,252,1
NN=CCF,253,1
ON=CCF,254,1
CNC=NC,255,1
CN=CNN,256,2
CN=CNO,257,2
NNC=NN,258,1
NN=CNO,259,2
ONC=NO,260,1
COC=CC,261,1
COC=CF,262,1
COC=NN,263,1
COC=NO,264,1
CNN=CC,265,1
CON=CC,266,1
CC=CC=C,267,1
FC=CC=C,268,1
CC=CC=O,269,1
CC=CC#N,270,1
NC=CC=O,271,2
NC=CC#N,272,1
FC=CC=O,273,1
FC=CC#N,274,1
NN=CC=C,275,1
ON=CC=C,276,1
ON=CC=O,277,2
ON=CC#N,278,1
CC=NN=C,279,1
CC=CC#C,280,1
FC=CC#C,281,1
NN=CC#C,282,1
ON=CC#C,283,1
CCC#CC,284,1
CC#CCN,285,1
CC#CCO,286,1
CC#CCF,287,1
CC#CC=C,288,1
CC#CC=O,289,1
CC#CC#N,290,1
CC#CC#C,291,1
CCC1CC1,292,1
NCC1CC1,293,1
OCC1CC1,294,1
FCC1CC1,295,1
CNC1CC1,296,1
COC1CC1,297,1
CCC1CN1,298,1
NCC1CN1,299,1
OCC1CN1,300,1
FCC1CN1,301,1
CCC1CO1,302,1
NCC1CO1,303,1
OCC1CO1,304,1
FCC1CO1,305,1
CCN1CC1,306,1
C=CC1CC1,307,1
O=CC1CC1,308,1
N#CC1CC1,309,1
C=CC1CN1,310,1
O=CC1CN1,311,1
N#CC1CN1,312,1
C=CC1CO1,313,1
O=CC1CO1,314,1
N#CC1CO1,315,1
N=CN1CC1,316,1
O=CN1CC1,317,1
C=NN1CC1,318,1
C#CC1CC1,319,1
C#CC1CN1,320,1
C#CC1CO1,321,1
C1CCCC1,322,1
C1CCNC1,323,1
C1CCOC1,324,1
C1COCO1,325,1
C1CC=CC1,326,1
C1CC=NN1,327,1
C1CN=CN1,328,1
C1CC=CO1,329,1
C1CC=NO1,330,1
C1OC=CO1,331,1
C1OC=NO1,332,1
C1NCC=C1,333,1
C1OCC=C1,334,1
C1C=CC=C1,335,1
C1C=NN=C1,336,1
c1cc[nH]c1,337,1
c1c[nH]cn1,338,1
c1nc[nH]n1,339,2
c1cn[nH]c1,340,1
c1c[nH]nn1,341,1
c1nnn[nH]1,342,1
c1nn[nH]n1,343,1
c1ccoc1,344,1
c1cocn1,345,1
c1nnco1,346,1
c1cnoc1,347,1
c1conn1,348,1
c1ncon1,349,1
c1nnno1,350,1
c1cnon1,351,1
c1nnon1,352,1
CCC(C)(C)C,1,1
CC(C)(C)CN,2,1
CC(C)(C)CO,3,1
CC(C)(C)CF,4,1
CCC(C)(C)N,5,1
CC(C)(N)CN,6,1
CC(C)(N)CO,7,1
CC(C)(N)CF,8,1
CCC(C)(C)O,9,1
CC(C)(O)CN,10,1
CC(C)(O)CO,11,1
CC(C)(O)CF,12,1
CCC(C)(C)F,13,1
CC(C)(F)CN,14,1
CC(C)(F)CO,15,1
CC(C)(F)CF,16,1
CCC(C)(F)F,17,1
CC(F)(F)CN,18,1
CC(F)(F)CO,19,1
CC(F)(F)CF,20,1
CCC(F)(F)F,21,1
NCC(F)(F)F,22,1
OCC(F)(F)F,23,1
FCC(F)(F)F,24,1
CNC(C)(C)C,25,1
COC(C)(C)C,26,1
CC(C)(C)C=C,27,1
CC(C)(C)C=O,28,1
CC(C)(C)C#N,29,1
CC(C)(N)C=C,30,1
CC(C)(O)C=C,31,1
CC(C)(O)C=O,32,1
CC(C)(O)C#N,33,1
CC(C)(F)C=C,34,1
CC(C)(F)C=O,35,1
CC(C)(F)C#N,36,1
CC(F)(F)C=C,37,1
CC(F)(F)C=O,38,1
CC(F)(F)C#N,39,1
FC(F)(F)C=C,40,1
FC(F)(F)C=O,41,1
FC(F)(F)C#N,42,1
CC(C)(C)C#C,43,1
CC(C)(N)C#C,44,1
CC(C)(O)C#C,45,1
CC(C)(F)C#C,46,1
CC(F)(F)C#C,47,1
FC(F)(F)C#C,48,1
CCCC(C)C,49,1
CC(C)CCN,50,1
CC(C)CCO,51,1
CC(C)CCF,52,1
CCCC(C)N,53,1
CC(N)CCN,54,1
CC(N)CCO,55,1
CC(N)CCF,56,1
CCCC(C)O,57,1
CC(O)CCN,58,1
CC(O)CCO,59,1
CC(O)CCF,60,1
CCCC(C)F,61,1
CC(F)CCN,62,1
CC(F)CCO,63,1
CC(F)CCF,64,1
CCCC(F)F,65,1
NCCC(F)F,66,1
OCCC(F)F,67,1
FCCC(F)F,68,1
CNCC(C)C,69,1
CNCC(C)N,70,1
CNCC(C)O,71,1
CNCC(C)F,72,1
CNCC(F)F,73,1
COCC(C)C,74,1
COCC(C)N,75,1
COCC(C)O,76,1
COCC(C)F,77,1
COCC(F)F,78,1
CCNC(C)C,79,1
CCOC(C)C,80,1
CCCN(C)C,81,1
CN(C)CCN,82,1
CN(C)CCO,83,1
CN(C)CCF,84,1
CC(C)CC=C,85,1
CC(C)CC=O,86,1
CC(C)CC#N,87,1
CC(N)CC=C,88,1
CC(O)CC=C,89,1
CC(O)CC=O,90,1
CC(O)CC#N,91,1
CC(F)CC=C,92,1
CC(F)CC=O,93,1
CC(F)CC#N,94,1
FC(F)CC=C,95,1
FC(F)CC=O,96,1
FC(F)CC#N,97,1
CC(C)NC=N,98,2
CC(C)NC=O,99,2
CC(C)NN=C,100,1
CC(C)OC=C,101,1
CC(C)OC=O,102,1
CC(C)ON=C,103,1
CN(C)CC=C,104,1
CN(C)CC=O,105,1
CN(C)CC#N,106,1
CN(C)NC=N,107,2
CN(C)NC=O,108,2
CC(C)CC#C,109,1
CC(N)CC#C,110,1
CC(O)CC#C,111,1
CC(F)CC#C,112,1
FC(F)CC#C,113,1
CN(C)CC#C,114,1
CCCC(C)=C,115,1
CC(=C)CCN,116,1
CC(=C)CCO,117,1
CC(=C)CCF,118,1
CCCC(C)=O,119,1
CC(=O)CCO,120,1
CC(=O)CCF,121,1
CCCC(N)=N,122,1
NCCC(N)=N,123,1
NC(=N)CCO,124,1
NC(=N)CCF,125,1
CCCC(N)=O,126,2
NCCC(N)=O,127,2
NC(=O)CCO,128,2
NC(=O)CCF,129,2
CCCC(O)=O,130,1
NCCC(O)=O,131,1
OCCC(O)=O,132,1
OC(=O)CCF,133,1
CCCC(F)=C,134,1
NCCC(F)=C,135,1
OCCC(F)=C,136,1
FCCC(F)=C,137,1
CNCC(C)=C,138,1
CNCC(C)=O,139,1
CNCC(N)=N,140,1
CNCC(N)=O,141,2
CNCC(O)=O,142,1
CNCC(F)=C,143,1
COCC(C)=C,144,1
COCC(C)=O,145,1
COCC(N)=N,146,1
COCC(N)=O,147,2
COCC(O)=O,148,1
COCC(F)=C,149,1
CCNC(C)=N,150,2
CCNC(C)=O,151,2
CCNC(N)=N,152,1
CCNC(N)=O,153,1
CNNC(C)=N,154,2
CNNC(C)=O,155,2
CNNC(N)=N,156,1
CNNC(N)=O,157,1
CONC(C)=N,158,2
CONC(C)=O,159,2
CONC(N)=N,160,1
CONC(N)=O,161,1
CCOC(C)=C,162,1
CCOC(C)=O,163,1
CCOC(N)=N,164,1
CCOC(N)=O,165,1
CC(=C)CC=C,166,1
CC(=C)CC=O,167,1
CC(=C)CC#N,168,1
CC(=O)CC=C,169,1
CC(=O)CC=O,170,1
CC(=O)CC#N,171,1
NC(=N)CC=C,172,1
NC(=N)CC=O,173,1
NC(=N)CC#N,174,1
NC(=O)CC=C,175,2
NC(=O)CC=O,176,2
NC(=O)CC#N,177,2
OC(=O)CC=C,178,1
FC(=C)CC=C,179,1
FC(=C)CC=O,180,1
FC(=C)CC#N,181,1
CC(=C)NC=N,182,2
CC(=C)NC=O,183,2
CC(=N)NC=C,184,2
CC(=N)NC=N,185,3
CC(=N)NC=O,186,3
CC(=O)NC=C,187,2
CC(=O)NC=N,188,3
CC(=O)NC=O,189,3
NC(=N)NC=C,190,1
NC(=N)NC=N,191,2
NC(=N)NC=O,192,2
NC(=O)NC=C,193,1
NC(=O)NC=N,194,2
NC(=O)NC=O,195,2
CC(=N)NN=C,196,2
CC(=O)NN=C,197,2
NC(=N)NN=C,198,1
NC(=O)NN=C,199,1
CC(=C)OC=C,200,1
CC(=C)OC=O,201,1
CC(=O)OC=C,202,1
NC(=N)OC=O,203,1
CC(=O)ON=C,204,1
NC(=N)ON=C,205,1
NC(=O)ON=C,206,1
CC(=C)CC#C,207,1
CC(=O)CC#C,208,1
NC(=N)CC#C,209,1
NC(=O)CC#C,210,2
OC(=O)CC#C,211,1
FC(=C)CC#C,212,1
CC=CC(C)C,213,1
CC(C)C=CF,214,1
CC=CC(C)N,215,1
CC(N)C=CF,216,1
CC=CC(C)O,217,1
CC(O)C=CF,218,1
CC=CC(C)F,219,1
CC(F)C=CF,220,1
CC=CC(F)F,221,1
FC=CC(F)F,222,1
CC(C)C=NN,223,1
CC(C)C=NO,224,1
CC(N)C=NO,225,1
CC(O)C=NN,226,1
CC(O)C=NO,227,1
CC(F)C=NN,228,1
CC(F)C=NO,229,1
NN=CC(F)F,230,1
ON=CC(F)F,231,1
CN=CN(C)C,232,1
CN(C)C=NN,233,1
CN(C)C=NO,234,1
CN=CN(C)N,235,1
CN(N)C=NN,236,1
CN(N)C=NO,237,1
CN=CN(C)O,238,1
CN(O)C=NN,239,1
CN(O)C=NO,240,1
CC=NN(C)C,241,1
CC=CC(C)=C,242,1
CC(=C)C=CF,243,1
CC=CC(C)=O,244,1
CC(=O)C=CN,245,2
CC(=O)C=CF,246,1
CC=CC(N)=N,247,1
NC=CC(N)=N,248,1
NC(=N)C=CF,249,1
CC=CC(N)=O,250,2
NC=CC(N)=O,251,2
NC(=O)C=CF,252,2
CC=CC(O)=O,253,1
NC=CC(O)=O,254,1
OC(=O)C=CF,255,1
CC=CC(F)=C,256,1
FC=CC(F)=C,257,1
CC(=C)C=NN,258,1
CC(=C)C=NO,259,1
CC(=O)C=NO,260,2
NN=CC(N)=N,261,1
NC(=N)C=NO,262,1
NN=CC(N)=O,263,2
NC(=O)C=NO,264,2
NN=CC(O)=O,265,1
ON=CC(O)=O,266,1
NN=CC(F)=C,267,1
ON=CC(F)=C,268,1
CC#CC(C)C,269,1
CC#CC(C)N,270,1
CC#CC(C)O,271,1
CC#CC(C)F,272,1
CC#CC(F)F,273,1
CC#CC(C)=C,274,1
CC#CC(C)=O,275,1
CC#CC(N)=N,276,1
CC#CC(N)=O,277,2
CC#CC(O)=O,278,1
CC#CC(F)=C,279,1
CCC=C(C)C,280,1
CC(C)=CCN,281,1
CC(C)=CCO,282,1
CC(C)=CCF,283,1
CCC=C(C)F,284,1
CC(F)=CCN,285,1
CC(F)=CCO,286,1
CC(F)=CCF,287,1
CCC=C(F)F,288,1
NCC=C(F)F,289,1
OCC=C(F)F,290,1
FCC=C(F)F,291,1
COC=C(C)C,292,1
COC=C(C)F,293,1
COC=C(F)F,294,1
CNN=C(C)C,295,1
CON=C(C)C,296,1
CC(C)=CC=C,297,1
CC(C)=CC=O,298,1
CC(C)=CC#N,299,1
CC(N)=CC=O,300,2
CC(N)=CC#N,301,1
CC(F)=CC=C,302,1
CC(F)=CC=O,303,1
CC(F)=CC#N,304,1
NC(N)=CC=O,305,2
NC(N)=CC#N,306,1
FC(F)=CC=C,307,1
FC(F)=CC=O,308,1
FC(F)=CC#N,309,1
CC(C)=NN=C,310,1
CC(C)=CC#C,311,1
CC(F)=CC#C,312,1
FC(F)=CC#C,313,1
CC(C)C(C)C,314,1
CC(C)C(C)N,315,1
CC(C)C(C)O,316,1
CC(C)C(C)F,317,1
CC(C)C(F)F,318,1
CC(N)C(C)N,319,1
CC(N)C(C)O,320,1
CC(N)C(C)F,321,1
CC(N)C(F)F,322,1
CC(O)C(C)O,323,1
CC(O)C(C)F,324,1
CC(O)C(F)F,325,1
CC(F)C(C)F,326,1
CC(F)C(F)F,327,1
FC(F)C(F)F,328,1
CC(C)N(C)C,329,1
CC(C)C(C)=C,330,1
CC(C)C(C)=O,331,1
CC(C)C(N)=N,332,1
CC(C)C(N)=O,333,2
CC(C)C(O)=O,334,1
CC(C)C(F)=C,335,1
CC(N)C(C)=C,336,1
CC(N)C(N)=N,337,1
CC(N)C(N)=O,338,2
CC(N)C(O)=O,339,1
CC(N)C(F)=C,340,1
CC(O)C(C)=C,341,1
CC(O)C(C)=O,342,1
CC(O)C(N)=N,343,1
CC(O)C(N)=O,344,2
CC(O)C(O)=O,345,1
CC(O)C(F)=C,346,1
CC(F)C(C)=C,347,1
CC(F)C(C)=O,348,1
CC(F)C(N)=N,349,1
CC(F)C(N)=O,350,2
CC(F)C(O)=O,351,1
CC(F)C(F)=C,352,1
CC(=C)C(F)F,353,1
CC(=O)C(F)F,354,1
NC(=N)C(F)F,355,1
NC(=O)C(F)F,356,2
OC(=O)C(F)F,357,1
FC(F)C(F)=C,358,1
CN(C)C(C)=N,359,1
CN(C)C(C)=O,360,1
CN(C)C(N)=N,361,1
CN(C)C(N)=O,362,1
CN(N)C(C)=N,363,1
CN(N)C(C)=O,364,1
CN(N)C(N)=N,365,1
CN(N)C(N)=O,366,1
CN(O)C(C)=N,367,1
CN(O)C(C)=O,368,1
CN(O)C(N)=N,369,1
CN(O)C(N)=O,370,1
CC(=C)C(C)=C,371,1
CC(=C)C(C)=O,372,1
CC(=C)C(N)=N,373,1
CC(=C)C(N)=O,374,2
CC(=C)C(O)=O,375,1
CC(=C)C(F)=C,376,1
CC(=O)C(C)=O,377,1
CC(=O)C(N)=N,378,1
CC(=O)C(N)=O,379,2
CC(=O)C(O)=O,380,1
CC(=O)C(F)=C,381,1
NC(=N)C(N)=N,382,1
NC(=N)C(N)=O,383,2
NC(=N)C(O)=O,384,1
NC(=N)C(F)=C,385,1
NC(=O)C(N)=O,386,3
NC(=O)C(O)=O,387,2
NC(=O)C(F)=C,388,2
OC(=O)C(O)=O,389,1
OC(=O)C(F)=C,390,1
FC(=C)C(F)=C,391,1
CC(C)=C(C)C,392,1
CC(C)=C(C)F,393,1
CC(C)=C(F)F,394,1
CC(F)=C(C)F,395,1
CC(F)=C(F)F,396,1
FC(F)=C(F)F,397,1
CC1(C)CCC1,398,1
CC1(N)CCC1,399,1
CC1(O)CCC1,400,1
CC1(F)CCC1,401,1
FC1(F)CCC1,402,1
CC1(C)CNC1,403,1
CC1(N)CNC1,404,1
CC1(O)CNC1,405,1
CC1(F)CNC1,406,1
FC1(F)CNC1,407,1
CC1(C)COC1,408,1
CC1(N)COC1,409,1
CC1(O)COC1,410,1
CC1(F)COC1,411,1
FC1(F)COC1,412,1
CC1(C)CCN1,413,1
CC1(C)CCO1,414,1
CC1CC1(C)C,415,1
CC1(C)CC1N,416,1
CC1(C)CC1O,417,1
CC1(C)CC1F,418,1
CC1CC1(C)N,419,1
CC1(N)CC1N,420,1
CC1(N)CC1O,421,1
CC1(N)CC1F,422,1
CC1CC1(C)O,423,1
CC1(O)CC1N,424,1
CC1(O)CC1O,425,1
CC1(O)CC1F,426,1
CC1CC1(C)F,427,1
CC1(F)CC1N,428,1
CC1(F)CC1O,429,1
CC1(F)CC1F,430,1
CC1CC1(F)F,431,1
NC1CC1(F)F,432,1
OC1CC1(F)F,433,1
FC1CC1(F)F,434,1
CC1NC1(C)C,435,1
CC1OC1(C)C,436,1
CN1CC1(C)C,437,1
CC1CC(C)C1,438,1
CC1CC(N)C1,439,1
CC1CC(O)C1,440,1
CC1CC(F)C1,441,1
NC1CC(N)C1,442,1
NC1CC(O)C1,443,1
NC1CC(F)C1,444,1
OC1CC(O)C1,445,1
OC1CC(F)C1,446,1
FC1CC(F)C1,447,1
CC1CC(C)N1,448,1
CC1CC(C)O1,449,1
CC1CN(C)C1,450,1
CN1CC(N)C1,451,1
CN1CC(O)C1,452,1
CN1CC(F)C1,453,1
CC1CC(=O)C1,454,1
OC1CC(=O)C1,455,1
FC1CC(=O)C1,456,1
CC1CC(=O)N1,457,1
CC1CC(=O)O1,458,1
CN1CC(=O)C1,459,1
CCC(C)CC,460,1
CCC(C)CN,461,1
CCC(C)CO,462,1
CCC(C)CF,463,1
CC(CN)CN,464,1
CC(CN)CO,465,1
CC(CN)CF,466,1
CC(CO)CO,467,1
CC(CO)CF,468,1
CC(CF)CF,469,1
CCC(N)CC,470,1
CCC(N)CN,471,1
CCC(N)CO,472,1
CCC(N)CF,473,1
NCC(N)CN,474,1
NCC(N)CO,475,1
NCC(N)CF,476,1
NC(CO)CO,477,1
NC(CO)CF,478,1
NC(CF)CF,479,1
CCC(O)CC,480,1
CCC(O)CN,481,1
CCC(O)CO,482,1
CCC(O)CF,483,1
NCC(O)CN,484,1
NCC(O)CO,485,1
NCC(O)CF,486,1
OCC(O)CO,487,1
OCC(O)CF,488,1
OC(CF)CF,489,1
CCC(F)CC,490,1
CCC(F)CN,491,1
CCC(F)CO,492,1
CCC(F)CF,493,1
NCC(F)CN,494,1
NCC(F)CO,495,1
NCC(F)CF,496,1
OCC(F)CO,497,1
OCC(F)CF,498,1
FCC(F)CF,499,1
CCC(C)NC,500,1
CNC(C)CN,501,1
CNC(C)CO,502,1
CNC(C)CF,503,1
CCC(C)OC,504,1
COC(C)CN,505,1
COC(C)CO,506,1
COC(C)CF,507,1
COC(C)OC,508,1
CCN(C)CC,509,1
CCC(C)C=C,510,1
CCC(C)C=O,511,1
CCC(C)C#N,512,1
CC(CN)C=C,513,1
CC(CO)C=C,514,1
CC(CO)C=O,515,1
CC(CO)C#N,516,1
CC(CF)C=C,517,1
CC(CF)C=O,518,1
CC(CF)C#N,519,1
CCC(N)C=C,520,1
NCC(N)C=C,521,1
NC(CO)C=C,522,1
NC(CF)C=C,523,1
CCC(O)C=C,524,1
CCC(O)C=O,525,1
CCC(O)C#N,526,1
NCC(O)C=C,527,1
OCC(O)C=C,528,1
OCC(O)C=O,529,1
OCC(O)C#N,530,1
OC(CF)C=C,531,1
OC(CF)C=O,532,1
OC(CF)C#N,533,1
CCC(F)C=C,534,1
CCC(F)C=O,535,1
CCC(F)C#N,536,1
NCC(F)C=C,537,1
OCC(F)C=C,538,1
OCC(F)C=O,539,1
OCC(F)C#N,540,1
FCC(F)C=C,541,1
FCC(F)C=O,542,1
FCC(F)C#N,543,1
CNC(C)C=C,544,1
CNC(C)C=O,545,1
CNC(C)C#N,546,1
COC(C)C=C,547,1
COC(C)C=O,548,1
COC(C)C#N,549,1
CCN(C)C=N,550,1
CCN(C)C=O,551,1
CCN(N)C=N,552,1
CCN(N)C=O,553,1
CCN(O)C=N,554,1
CCN(O)C=O,555,1
CCN(C)N=C,556,1
CNN(C)C=N,557,1
CNN(C)C=O,558,1
CON(C)C=N,559,1
CON(C)C=O,560,1
CCC(C)C#C,561,1
CC(CN)C#C,562,1
CC(CO)C#C,563,1
CC(CF)C#C,564,1
CCC(N)C#C,565,1
NCC(N)C#C,566,1
NC(CO)C#C,567,1
NC(CF)C#C,568,1
CCC(O)C#C,569,1
NCC(O)C#C,570,1
OCC(O)C#C,571,1
OC(CF)C#C,572,1
CCC(F)C#C,573,1
NCC(F)C#C,574,1
OCC(F)C#C,575,1
FCC(F)C#C,576,1
CNC(C)C#C,577,1
COC(C)C#C,578,1
CC(C=C)C=C,579,1
CC(C=C)C=O,580,1
CC(C=C)C#N,581,1
CC(C=O)C=O,582,1
CC(C=O)C#N,583,1
CC(C#N)C#N,584,1
NC(C=C)C=C,585,1
OC(C=C)C=C,586,1
OC(C=C)C=O,587,1
OC(C=C)C#N,588,1
OC(C=O)C=O,589,1
OC(C=O)C#N,590,1
OC(C#N)C#N,591,1
FC(C=C)C=C,592,1
FC(C=C)C=O,593,1
