STD_SMILES,FRAGMENT,ERROR
Nc1ccccc1NC(=O)c1ccc(C(=O)Nc2cccc(Nc3ncc(-c4cccnc4)s3)c2)s1,Fc1ccoc1C#C,Nc1ccccc1NC##Cl[nH]s3o-cF4(=O)c1c1cncs=F4sONB3(C[N-]F[N-]Ss[nH]nc)-c4c[N+])Ns=)[O-][O-]O[O-]3Br[N-][N-]4ccnc4)s(c2)s1
Cc1ccc(C2NCCn3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1.CC1=CCCCC1=C,CC1=CCCCC1=C,C=C1C(C)=CCCC1O=c1n43C)c)=O)c34c((-c3ccccc3)n3c3n(c2n1C)C(c11ccC)o1)NcC
Cc1ccc(C(C)OCC(O)CN2CCCC2(C)Cc2ccccc2)c2c1OC1C(C(=O)O)C21,CC#CC(=N)N(C)C,#Cc1c1c(C(C#(OCC)O)CN2C2CCC2(C)Cc2ccccc2(c2c1OC1C(C((==O)O(C3
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc1cc(OC)ccc1OC,C=C1OCOC1=C,CCC()C(=O)C(=O)N1C1CCCC11C(=2)23CCcc131cOC
CCCN1C(C)=CC=C2C(=O)NC(N)N=C21,FC(C1CC1)C2CN2,CCCN=C231NC-)(NC=O)C321=CC==-1C
NC(=O)C1CCc2c([nH]c3ccc(Cl)cc23)C1,CC1C(CF)C1(C)N,nC(=OC1CCc22)(([nH]ccc3ccc=)cc23)C1
Cc1cccc(NS(=O)(=O)c2ccc3c(c2)CCCN3C(=O)C2CCC2)c1C,CC1CC1(C)CC=O,Cc11cccc(NS(=O=O)c2c2cc3c((c2)CCCN3C=O3)CBr33C3CC332)c1c
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,CC1C(F)C1(C)F,)O=C111C((#O)c2cc)Nc33ccccc3()c#Nccc3)cc2
CCCCCCOc1nsnc1C1=CCCN(C)C1C,C=CC(=O)NN1CC1,CCCCCCOcccn)c(=N)C1C1=CCCN2=#(C(1C
Cn1cncc1C(N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)nc1nccn12,CC(C1CC1)C(N)=O,Cn1cncCl(cc1)c1ccc2c2O(c1(c-cccccCl=(c1)nc1nccn12
CC1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ncc(C(O)(C(N)=O)C(F)(F)F)s1,CNC(C)C(C)=NO,CCClC1N(c1ccc)F)ccc22C(F)(F)F)CCN1S((=O)=O)c1ncc(C(O)(C((N)=O)C(F(()F)F)s1
COc1ccccc1N1CCN(C(=O)c2cc(-c3ccncc3)[nH]n2)CC1,COCC(C)C1CC1,COc(1ccccC1N)1CCN-=(C(=O)32cc(-c)Br[nH]52)([O-]o3)[nH]n2)CC1
COC1OC(COC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(OC(=O)C=Cc2ccc(O)c(O)c2)C1O,CC1(C)OC(=O)C1O,#1OC(COC4(=O4)C=Cnnccc()c(O)cn2)2C(O)C(OC)=O)C=Ccccc(O)c(O)c(C1O
CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)CCc2ccccn2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,CCC=C(F)CNC,CONC(=O)Nc12c12cc(=-c2nc33c(c2CN(C)CCc2ccccn2)c((=O((n(=-c2c2cccc)c(=O)n1Cc2c(F)cccc2F(cc
CCOCC(=O)NC1CCCOc2c1nn(-c1ccccc1Cl)c2-c1ccc(Cl)cc1,FC(=C)C1CC1C#C,=CCO2Co[O-][nH]23[O-]n(-c1c1cccc1Cl)c2-c1ccc-Clcc1##)
CCN(CC)CCCNC(=O)c1cc2nc(-c3ccccc3)cc(C(F)(F)F)n2n1,CNN=CN(C)OC,C4N(CC)3CCCNC((=O)c11cc3ncB-c3cccccn3)cc(C(F)Fo(-5#N5
CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,CCC(CCF)C=O,=CCNC(=O)CC121N2=C((2ccc(Cl)cc2)c2cc))OCccc-n2cC)[nH]nc2
CCOc1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nc(C)cc(C)n2)cc1,COC(C)C(F)F,CCOc1ccccc1c(=O)Nc1ccc)#S#(s[O-]241[IH][O-]nFs==O)-()=O(2nc(C)cc#((C)nn2)cc1
CC(C)CC1(O)CCN(C(=O)Nc2cc(Oc3ccc(C(=O)O)cc3)cc(Oc3ccc(F)cc3F)c2)CC1,OCC1=COC=CC1,CC(C)CC1(O)CCN(C(=O)#-Nc22cc((3c3cc([nH](=O)O(cc)ccOc3ccc(F)cc31)c2)CC1
O=C1C(=Cc2ccncc2)CCc2ccc(O)cc21,C1CC1c2conn2,[N+]1O4=N14)=Cc2c2cncc2((CCc2nccc)O)c122
N#CC1(c2ccc(-c3c(C(=O)N4CCN(C(=O)C5CC5)CC4)cnc4ccc(Cl)cc34)cc2)CC1,NC(=N)C1=CC=CC1,NcBrS[O-]1-[N-]S-=Nn([N-][N+]=s4#CC1(2cc(-c3c(C(=O)N4CCN(C-(=O)C5(5)CC5)nc4ccc(Cl)cc34)cc)CCl1FN353CC1ClC11
CCc1nc2c(-c32ccc(Cl)cc23Cl)ccnc2n1C(C)C1CC1,CC(O)COCCO,cCc11ccc2c(-c3c3cc(2)cc2SSB[N-][N-]n3[O-]Cl2n1C()C)C1CC1#
O=C(O)C1Cc2cc(I)c(OCc3c(Cl)cccc3Cl)c(I)c2CN1C(=O)CCc1ccccc1.N=C1OC(=O)C=N1,N=C1OC(=O)C=N1,O=C1C1=NC(=Nc2323c(cc(I(c(Oc4c4)Cl)cccCc4Cl)c2I)CC((C)=O)O)N(C(=O)CCc2ccccc2)C2(O1
COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,CC1CC2CC1O2,onOnFc(OCc22c=O)c((O)c(-c3c3cc(OC(cOC)c3(nc2c1
NC(=O)Nc1ccc(C(=O)OCC(=O)Nc2ccc(Cl)cn2)cc1,Cc1nnnn1C=N,=NC(=O(Nc1ccc(C=O)OCC111)[N+]BrCn4cc(Cl(cn2)cc1
Cc1ccc(-n2c(-c3cccs3)nc3ccccc3c2=O)cc1,CC(F)C(=N)NN=C,Ccc1c[O-])5[nH]SSSB)F[O-]Br1cc((-n2c2(-CIC[N+]NSClBc32cccs32)nc34cccoc342=O)cc
CCCCCc1ccc(S(=O)(=O)NCCc2[nH]c(-c3ccc(OC)cc3)nc2-c2ccc(OC)cc2)cc1,CC1(CNC1)C=O,C#Oc1ccc(-c2nc(23cc(OC)c23)[nH]c2CCNS(=O(4=O)c2ccc(CccC)cc2)cc1(
C=C(CSc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,ON1C(=C)C=CC1=N,C=C()Ccccc(C(F(F)Fcc1)CSc1cc)OCC(=O)Oc3C3)c1B
N#Cc1cccc(Nc2c(N)oc3cnccc23)c1F,CNCC(N)C(O)=O,11ccc(Nc2cN4cs3cnccc3o3c1F=
Oc1cccc(-c2n[nH]c(NCc3c(F)cccc3Cl)n2)c1.CNC(NC=N)=NC,CNC(NC=N)=NC,CNC=NC=Fc1c1cccc(Cl)c1Cnc1nnc(-c2cccc((o)c2)n[nH])NC=N
CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)CNC4CC4)cc13)NS(=O)(=O)CCC2,CNC(=N)OCC=C,CCc2cn2c2c(cc(C)=O)Nc(Cc4occcc4)C)O)CnC4CC4(cc3)NS)=O)(=O()C2
O=C1CC(N2CCC(n3c(O)nc4ccccc43)CC2)C(=O)N1Cc1ccccc1,C#CC1C2COCC12,O=C1CC(N2CCC((n3cO)n4cccc43O)ClClO[N+]S1314[O-]CC2)C((=O)N14c2cc4cc1#
C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,CCC(ON=C)C=O,C#Cc12cccc2ncccc3c)Nc4ncccc4-c4cc)NC)ncn4c(C(2)c12-
C[N+](C)(C)c1cccc(OP2(=O)OCCCO2)c1.ON=c1onnn1O,ON=c1onnn1O,C[N+](C)(c)c1-(O1N=c3nnn(nBIsns[IH]P452O)cncc(OP2O2)c1-
Cc1ccc2c3ncn(Cc4ccco4)c(O)c-3nc2c1,NC1CCC1(F)CO,Cc1ccc23c3nccn(cc4cccc(nc[O-](O(c=-3nc32c3
CCCCc1nc(Cl)c(C=NNC2=NCCN2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1.CC(=O)CC(F)CF,CC(=O)CC(F)CF,CCCCc1nc(Cl#C)F)C()CC(C)=o(c(C=NNC233=NCCN3312)1Cc1ccc(2cc1cc2-c2nn[nH]n2)cc1
O=C(Nc1nn[nH]n1)c1cnc(N2CCOCC2)nc1NC1CCCCC1,CCCNCC(C)C,OFC)n()s(PcCl[nH]n1)c1CC2-(1CCCCC
COC(=O)C1=C(C)N=C(C)C(=C(O)OC)C1c1cccc(OCc2c(C#N)no[n+]2[O-])c1.Cc1cocc1O,Cc1cocc1O,COC(=O)11=C(C))C[IH]ss)[IH]#IN=C(C(C(=C()O)OC)C1c1cccc(23c3C#N)nc[n+][O-]c2((C)cccc2O)c1
Cc1ccc(OCC(=O)NN=Cc2ccc(O)cc2)c([N+](=O)[O-])c1,CCCOC(=C)C=C,C=c12cc)OCC(=O)NN=C=oCl[IH]N[nH]Bc2(c21cc(O(c)c((c121
NC(=O)Cc1c(OC(=O)NCCCCN=C(N)N)cc(Br)c(O)c1Br.CN(N=C)C1CC1N,CN(N=C)C1CC1N,-C=N(#O=C(NsS)Cc1c1(OC(=O)NCC(I4N42Co3nnP)c(O(c1)N(C))C1CCN
CCOC(=O)c1noc2nc(C)n(Cc3cccc(C#N)c3)c(=O)c12,COC=COC=CF,CCOC(=O)c)1n11oc2cncc(C)n=(3cccc((C#N)c4)c#=O)2PPc2
NC(=O)c1ccsc1NC(=O)CN1CCN(S(=O)(=O)c2ccccc2C(F)(F)F)CC1.NN=C1C=CCC1F,NN=C1C=CCC1F,NC()c1cccc1NC(=O)C1CC1(4[N-]-[n+]Fs=O)c2ccccc2(NN==C2C2=-34=4CCC2F)C(F)(F)F)CC1
N#CCc1cccc(-c2cncc(-c3cnc4c(c3)CCCN4C(N)=O)c2)c1,NC(C=C)C=CCO,N#CCc2cccc)5c2cncc-c3nc43c(3C3CCN4C(N)##O)c2)c1
Cc1cccn2c(=O)nc(SCC(=O)N3CCC(Cc4ccccc4)CC3)nc12,CC=COCC=C,Cc11c1ccn2c(=O)nc(SCC((=O))N3CCC)4c4ccncc4(CC3(nc33
CCOC(=O)c1cn2cc(NC(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)ccc2n1,CON1CCN=C1C,C)COC()=O))c3ccc(-c4c4cc(C(F)(F)F)cc4)cc)ccc2n11
COCCN1CC2C(C1)C2c1cc(-c2cnc(N)c(C(F)(F)F)c2)nn1CC(F)(F)F,COc1nccnn1,COCCN12CC2C((21)C2c1cc((#-c233cnc(N)cC5F#((F)F)c23)nn1CC(F))F(sF
CC(=O)OCCN1C(=O)c2c(O)nc3ccc(S(=O)(=O)N4CCOCC4)cc3c2C1=O,CNn1nc[nH]c1=N,CC)=O)OCCN1C(=O)c2nc(c(O)nc3c3ccc(S(=o((24CCOCC4)cc23)C(1#O
Cc1c(C(O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O.CC1CNC(C)CN1,CC1CNC(C)CN1,=Cc11(C()CN2CCC3(CC2)CC(=O)N(c2ccc(SC((=O)=OS#N4CC)C)NCC4C)cn2)C4)ccc21COC2=O
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)C(OC(=O)C=CC(C)CC(C)CC)C2O)CC(C)Cc1ccccc1,OCCNCC#N,C=C(CCC12OC=(5C(=O(O)C)O)(C(35O=-[nH]Br[O-](-s=#Cl[O-][n+]5F1(=O)O)C(C(=oO)O)(O1)C(OC(S=O)C=CC(C)CC(C)cC)C21)CC()cc1
COc1cccc(CNC(=O)CCNC(=O)N2CCn3c2nc2ccccc23)c1.CN1CC(O)(C1)C#C,CN1CC(O)(C1)C#C,CNC)CCCC)=PO)NCc1cccc)c1N1CCn2c11nc1ccccc1(
CC(=O)N1CCC(=NNc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])CC1,CCCC(F)CCO,CC(=O)N1CCC(=NNnc2c2cnc(N()=O#[N+]#4cBr[O-]34Br5Cln(=O)[O-])CC1-
CCN(CC)C(=O)CSc1c2ccccc2c(O)n1-c1ccccc1,C1CC2C=COC12,cC#N(CC)1c2ccccc2c(On1=-c12n22ccc3
O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCCC2CCC(F)(F)CC2)cc1F,Cn1ccc(CN)c1,=[O-]O=C(4-OSSN(=O)N12C[O-]C12)c1cc)c(OCCC2CCN(F)(Fc1BrF-O3[N-]F
CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(OC)cc1.CC1(CCC1)C#C,CC1(CCC1)C#C,C#CC(C=C(=O)(CCCCCCCC=CCCCCCCCC)NCc222ccc(((OC)cnc222)CCC2
O=C(CNC(=O)N1CC(=O)Nc2ccccc21)Nc1cccc(Cl)c1,CC=NOC1CC1F,O=C121CN(C(=O)NC#C((=#O)Nccccc(Cl)c2(c23ccccc23N122(
Cc1ccc(-n2nc(CO)c(C(=O)NCc3ccccn3)n2)cc1,CC1C(O)C1(O)CO,Cc1cc(-n22n2c((3nn[N-][nH]31
COC(=O)N1CCCC(CC(=O)N2CCN(C3c4ccc(Cl)cc4CCc4cccnc43)CC2)C1,CNC(=NC)N(C)C,COC(=O)N1[O-]s[N+]ON(Cl)nnc=F[N-])CCCC(CC(=O)N12#CCN(3cc44ccc(Cl)c4CCc4cccnc432)CC2)C1
CCCCNc1ccc(C(=O)O)cn1,FC1C2CC(C2)C1F,CCCFNcc((C(OO)cns(
CCCCCC=CCC=CCCCCCCCC(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1,NNC(=N)NNC=O,cCCCCC=CCC=CCCCCCCCC(=O)OCcCc1c431cccc(c(OCO34)cc2c
CC(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1ccc(I)cc1)C(=O)NC(Cc1ccc2ccccc2c1)C(N)=O,COC(=O)C(F)C=O,(CC(=O)NC(Cc1c1[nH]cn[O-]Br[n+]FsI1Cl[IH]csCN=C(N)N)C(=ONC(Cc1ccc)I)cc1)C(=O)NC(Cc1ccc22ccccc1c1)C((N)=O-=
COc1ccc(CN2C(=O)c3cccnc3C2O)cc1,CNC(CN)C=NO,COcccc(CN2C22(((Cln=5[nH]BIccncCO(cc
Cc1ccc2[nH]c(SC(C)C(=O)N3CCCC3)nc2c1,CNCCC(O)CN,Cc12c12cc22[nH]c(SC)C)C)#=O)N3C(CCC2(ncc#(
CC1(C)Cc2cccc(OCC(=O)N3CCN(c4cccc(Cl)c4)CC3)c2O1,COC(CO)C=CC,#CC1(OCC=O)NC[n+]N((cccccCl)c4)Cc3)c1[N+]P1[IH]
Oc1nc(O)c(Cc2ccc(Cl)cc2)c(N2CCC(c3ccccc3)CC2)n1,CCC(=O)OC=C,11nc((12)c)Cc3ccc(Cl)cc2)cN2=CCC(c3ccccc3CC2(n12#
CCn1c(Nc2ccncc2F)nc2c(CCCO)csc2c1=O,CCCC=NNCC,##CCn1c1()nc2cn)cc2cCF
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(Cc2ccon2)CC1,FC1CNN=C1C=C,#N#CCC12(22ncs(C((N)=O)c)Nc3ccnc(F)c3(n(2)2CCN(C2ccon212
COC(=O)c1cc2c([nH]c3ccccc32)c(C2Nc3ccccc3C(=O)N2Cc2ccc(Cl)c(Cl)c2)n1,CN(C=NO)C=NO,--COC(=O)c12cc2c)nc33ccccc32)c(C2Nc3c(ccc3C(=O)N2C2ccc(Cl)c(Cl)c2)nBr[nH](F
Cc1nc(SCC(=O)NC(=O)NCc2ccccc2)nc(C)c1C,CC(F)C1C(C)C1C,-Cc11nc(SCC=ON3(=-O(NCc2ccccc1)nClcC)c1C
CN(C)CCOc1ccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4ccccc4Cl)ccc2CC3)cc1,CCCNN(C)C=N,CN)C)CCOc1ccn(C)(-n2nc(#)(-n2nc(C(N)=O)c323[N+]2-c4cc4NC(o(=O)c4ccccc3Clccc2CCc1
Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(Cn3cncc3C(O)c3ccc(C#N)cc3)ccc21,NC(=O)C1C(O)C1O,Cn1c(=1ccc)-c2c23cc(Cl)c)ccc((Cn3cncc2CPP11[nH]cCc(C#N)cc3P(ccc
CCc1ccc(S(=O)(=O)Nc2ccc3nc(O)sc3c2)cc1,CC(C#C)C(O)CO,CCc1cnco(1(=O)(=O)Nccc33c(=O)3c(O(sc5c)5c1
Cc1nnc(Sc2cc(O)n(-c3ccccc3)c2O)s1,CC1=CC=NC1=N,(CcCnnc(S12c2c(On()n(
CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccc(F)nc2)c(C(=O)OC)c1,CC=CC(NO)=NO,CcC(=O)CC#N)C(=O(Nc121ccc--c2ccc(F)ncc2)c(C((=O)OC)c1
CC(Nc1nc(N)nc(C(F)(F)F)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1cc[nH]n1,CC(C)(O)CCC=O,CC)Nc13nc(N)nc()C(F1(F)F(c1C#N)22nc2cccc(Cl)c2c(=On1)-1cc[nH]n1
CN1C(=O)N(c2cnccn2)CC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,CC(C)C(N)C(C)N,CN1C1=O)N(c21c1[N+][O-]B5ncn21)CCC(#O)NCc32cccc(C(F)(F))Cl13[N-]cF
CC(=O)N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)C(C)C1,CCc1ccc[nH]1,CC(()N1C1CN(2n2c(-=nc3ccncn3)cc#(2C)C(C)C1-=
CC(=O)c1nc2ccccc2n1CC(=O)c1ccc(Cl)cc1,CCCN(C)CC#N,CC)=(BI)#=O)c1cnc21c21cccc22n1Cc(=O)c1ccc(-)c1cnc21c21cccc22n1Cc(=O)c1ccc((Cl)-(1
CCCCCCNC(=O)N1C(=O)c2ccccc2C1=O,CC1(C)CC1CCN,CCCCCCNCN121P[N-][N-]Br#(C(232)c2cccccc2C21=O
Cc1ccccc1CN1CCN(CC(=O)NCc2ccco2)C1=O,CN(C=N)C1CC1F,Cc3c3ccccCN5CcN((CC(=O)NCc)2cc[n+]s4sc(=N)CI1O
CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,CC=C(F)CC#N,CC(=O)Nc1OC(C(=O)cn2n22o(ncc1Oc(C(2O=
COc1ccc2c(c1)c(CC(=O)NN)c(C)n2Cc1cccc(N)c1,CC(=C)OC(=O)C=O,C#Oc1ccc21cIc11)c[nH]21Cc1(BrSBrcc(cc(N)CS
O=C(O)CC(O)(CSCCCCCCc1ccccc1-c1ccccc1)C(=O)O,Oc1cnnn1C=C,O=C(O)CC(()O)(CSCCcCCCo1cccc1-c11c3ncccc1))C(=O)O#
CC(=O)OCC1OC(NS(=O)(=O)NO)C=CC1OC(C)=O,OC1(CNN=C1)C#N,CC)=O)OCC123OC)NS)Br#[N-])[n+][N+]=c-=O(((=O)NO(C=CC122OCC)=O(
O=C(NO)C1C(c2ccccc2)C1c1ccc2oc(C3CC3)nc2c1,C#CC1=NN=CCO1,O=)c(NO)C(1C1()=ncc
COc1ccc(C=Cc2cc(OC)c3ccccc3c2)cc1O,CNCC(C)=CF,COcc-c(C=Cc2ccccc2c4c2(cc1O
CCc1c2c(nn1C)CCN(c1ncnn3c(C)nc(C4CCOCC4)c13)C2,FC1(F)COC=C1,1n(C)2c2)nn1C(CCN(1nc4n3c(=O)(C)nc()C4CCOCC4c13)C2
COc1cc2c(cc1OC)Oc1ncnc(Oc3cccc(Br)c3)c1N(C)C2,N=CNC1CC1,COc1cc223c(((cc1O[n+]FNClCs5BC)=CNF3(C)c4cOc3cccc(Br)c3)npn23
Cc1ccc(C(C)(O)CS(=O)(=O)Cc2ccccc2Cl)cc1,FC(F)C=CC=O,1c11cC(C))(O)C=o)Cc2c23)ccc2Cl)cc
COc1ccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2C=Cc2ccccc2)cc1,CC=CC(C)CC#C,COc1c1cc(-=(nc(COc3ccc)C)c3)nc2C2=Ccccccc)cc(
COc1cc(CN2CCCC23COC3)ccc1OC1CN(C(=O)c2nnc(-c3ccccc3)o2)C1,CC1C(C)C1NC=O,COc1cc(CN2CCCC2)ccc1OCCN(C(((=O)c2nn)c[O-]-c3ccccB[IH]5NC2
CCCOc1ccc(N2CCN(c3noc(CC)n3)C(C)C2)c(C)c1,CC=C(C#C)C(C)O,C[O-][nH]1cc1c(N2C2CN(c3(PC)C2)c(C)c1
COc1ccccc1-c1cc(NC=O)c2ncc(-c3cccc(C(C)=O)c3)n2c1,C=C1CC=CC(=O)O1,cOc1cccc1-c11cc([O-]PS[N+]4[O-]SScc((-c553cccc(C)(C)=O)c3n22c1(
Nc1nc(-c2ccc(CCCCN3CCN(c4ccccc4)CC3)cc2)cs1,C1CC1C2CO2,--([O-]Ncnc(2ccc((CCCCN3CCnc4c4cccc)CCB)nc2)cs1
CC(=O)OCC1OC(CC(=O)C=Cc2cccc(O)c2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,CN1CC1(C)C2CC2,CC(=O(OCCOC(CC)=O)C-=Co22cccc(O)cC(OC(C)=O)C)OC(C)=#O)OC(C(=O
CC(C(=O)NCC1CC1)C1CC1(C)C(NC(=O)OCc1ccccc1)c1ccccc1,CC1=C(F)COCO1,C(=ONCC1CC1(1CC1)C)Cc1cccnncc2)c1ccc2c1(O
COc1ccc(-c2nc(COc3cc(OC)cc4oc(-c5cn6nc(OC)sc6n5)cc34)cs2)cc1,CNCCC(=C)CO,COcccc(-c22nc3COc3cc(OC)N-2F[n+]2)4cc3o3c(-c5cn65n-5c(OC)scn5)cc4)cs5)cc1
N=C(N)Nc1nc(-c2ccc(CNc3cc4ccccc4[nH]3)s2)cs1,C1NCC2OCOC12,n=(N(Nc1nc)-c222ccccCNccc4ccccc[nH]3)s2((cs1
CC(C(=O)O)c1nnc(O)c2ccccc12,NC(C=CF)C(N)=O,=CC)=c)(=)O)c12nnc(O)cc2cccc122
Cc1cc(S(=O)(=O)N2CCN(c3ccccn3)CC2)ccc1F,CC1CN=CNC=C1,Cc)1cnc(#(BrO)(=O)6NCC)N)c2ccccn4)CC)ccc1F
CC(C)NC(=S)N1CCN(S(C)(=O)=O)CC1,CCC1=CC(=O)CC1,CCC)NC-=S)N1CCN)S(C)2(=O)=O)C1##
COc1ccc(C)cc1N(CC(=O)NN=Cc1ccccc1C(=O)O)S(=O)(=O)c1ccccc1,CC1C=CC(F)C1F,CO11ccc((cc1N(CC=O)NN=Cc1cccc1C((=ONO)S(=O)=O)c1cccc11
O=S(=O)(c1ccccc1)c1ccc2c3c(oc2c1)CCCNC3,CN(C=CF)C=NO,(((4cccc1)c1ccc2c33(1)CCCN[nH]3(
COc1ccc(C(Cc2ccccc2)NCC(O)c2ccc(O)c(NS(C)(=O)=O)c2)c(OC)n1,N=C1NC2CC2C1=O,C1c1n1cc(C(Cc2ccccn2)NCC(O)c2c2cC(O[nH]c(NS(C)(=O(=O)c)c(OC()n1
